author,rate,title
作者:[美]彼得·海斯勒,9.1,江城
作者:安徒生,9.1,海的女儿
作者:[英]阿·柯南道尔,9.3,福尔摩斯探案全集（上中下）
作者:慕容引刀,9.0,让爱点亮
作者:[德]赫尔曼·黑塞,9.0,悉达多
作者:美国纽约摄影学院,9.1,美国纽约摄影学院摄影教材（上）
作者:EricS.Raymond,9.0,UNIX编程艺术
作者:[法国]马塞尔·普鲁斯特,9.1,追忆似水年华（上下册）
作者:[法]列维-斯特劳斯,9.1,忧郁的热带
作者:[美]埃里克·霍弗,8.9,狂热分子
作者:钱穆,9.2,中国历代政治得失
作者:[美]菲利普·科特勒/[美]凯文·莱恩·凯勒,9.0,营销管理
作者:谢尔・希尔弗斯坦,9.1,爱心树
作者:余华,9.1,活着
作者:尹建莉,8.9,好妈妈胜过好老师
作者:[伊朗]玛赞·莎塔碧,9.2,我在伊朗长大3
作者:[德]埃·奥·卜劳恩绘,9.2,父与子全集
作者:慕容引刀,9.0,被爱路过
作者:[日]莫莉蓟野,9.1,子猫絮语
作者:[英]乔治·奥威尔,9.3,动物农场
作者:王小波,9.1,沉默的大多数
作者:hans,8.9,阿狸·梦之城堡
作者:余华,9.1,活着
作者:[法]圣埃克苏佩里,9.0,小王子
作者:[日]东野圭吾,9.1,白夜行
作者:[英]阿加莎·克里斯蒂,9.0,东方快车谋杀案
作者:[英]奥斯丁,9.0,傲慢与偏见
作者:王小波,9.1,我的精神家园
作者:芭芭拉·德米克,9.1,我們最幸福
作者:林达,9.0,历史深处的忧虑
作者:[美]曼昆,9.1,经济学原理（上下）
出版社:少年儿童出版社,9.1,十万个为什么
作者:[奥]斯蒂芬·茨威格,9.1,象棋的故事
作者:王小波,9.0,沉默的大多数
作者:[日]东野圭吾,9.0,嫌疑人X的献身
作者:[清]蒲松龄著/朱其铠等校注,9.1,全本新注聊斋志异（全三册）
作者:屈原,9.1,楚辞
作者:[英]阿瑟·克拉克,9.1,2001太空漫游
作者:[美]特德·蒋,9.0,你一生的故事
作者:宫西达也,9.1,你看起来好像很好吃
作者:张乐平,9.2,三毛流浪记（全集）
作者:张乐平,9.0,三毛从军记全集
作者:[日]伊坂幸太郎,9.0,金色梦乡
作者:[美]彼得·海斯勒,9.0,寻路中国
作者:[法]米歇尔·福柯,9.2,规训与惩罚
作者:[英]毛姆,9.0,刀锋
作者:章东磐,8.9,父亲的战场
作者:[美]丹·西蒙斯,9.0,海伯利安
作者:[俄]布尔加科夫,9.0,大师和玛格丽特
作者:林达,9.0,我也有一个梦想
作者:王国维,9.0,人间词话
作者:秦晖,9.1,传统十论
作者:[英]马丁•麦克多纳/汀布莱克•韦滕贝克/安东尼•尼尔逊/卡丽尔•丘琪尔,9.2,枕头人
作者:汪曾祺,9.3,受戒
作者:[英]肯·福莱特,8.9,巨人的陨落
作者:[美]哈珀·李,9.2,杀死一只知更鸟
作者:陈寅恪,9.0,柳如是别传（全三册）
作者:[法]克里斯多夫·夏布特,9.1,灯塔
作者:三毛,9.0,万水千山走遍
作者:PhilipJ.Guo,9.1,ThePh.D.Grind
作者:（英）弗雷泽,9.0,金枝
作者:[日]三岛由纪夫,9.2,丰饶之海（上下）
作者:[英]J.R.R.托尔金,9.5,魔戒
作者:柏拉图,9.1,斐多
作者:顾城,9.1,顾城哲思录
作者:马克斯·韦伯,9.1,韦伯作品集Ⅻ:新教伦理与资本主义精神
作者:米兰Lady,8.6,孤城闭
作者:[明]王阳明撰,9.3,传习录
作者:StephenPrata/云巅工作室,9.1,CPrimerPlus
作者:[美]黄仁宇,9.1,万历十五年（增订本）
作者:(法)孟德斯鸠,9.0,论法的精神（上）
作者:费孝通,9.0,江村经济
作者:桔子樹,9.3,麒麟之与子同袍
作者:[爱尔兰]奥斯卡·王尔德,9.0,快乐王子
作者:李娟,9.1,羊道·深山夏牧场
作者:[俄]列夫·托尔斯泰,9.2,安娜·卡列尼娜
作者:李娟,9.1,羊道·前山夏牧场
作者:旋元佑,9.5,英语魔法师之语法俱乐部
作者:CharlesPetzold,9.3,编码的奥秘
作者:(日)三岛由纪夫,9.0,天人五衰
作者:李碧华,9.2,霸王别姬
作者:[奥]莱内·马利亚·里尔克,9.1,给青年诗人的信
作者:DouglasCrockford,9.1,JavaScript语言精粹
作者:[日]芥川龙之介,9.3,芥川龙之介全集
作者:TOBYSEGARAN,9.0,集体智慧编程
作者:阿城,9.1,棋王.樹王.孩子王
作者:（法）安德烈·巴赞,9.0,电影是什么？
作者:老舍,9.2,正红旗下
作者:(法)克利斯提昂.约里波瓦/文/(法)克利斯提昂.艾利施/图,9.1,我想去看海
作者:藤萍,9.0,香初上舞·终上
作者:藤萍,9.0,香初上舞·再上
作者:赖世雄,9.6,美语音标
作者:[英]毛姆,9.0,人生的枷锁
作者:金庸,9.6,金庸全集
作者:毛泽东,9.4,毛泽东选集第一卷
作者:陈鼓应注译,9.3,庄子今注今译（全三册）
作者:南怀瑾,9.0,庄子諵譁（下）
作者:鲁迅,9.4,故事新编
作者:汪曾祺,9.2,汪曾祺小说经典
作者:鸟哥,9.1,鸟哥的Linux私房菜
作者:[荷]文森特·凡高,9.0,亲爱的提奥
作者:夏宇,9.1,夏宇詩集／腹語術
作者:海子著/西川编,9.2,海子诗全集
作者:罗曼·罗兰,9.1,约翰·克利斯朵夫（共四册）
作者:（明）汤显祖著；徐朔方，杨笑杨校注,9.1,牡丹亭
作者:[英]阿诺德·汤因比,9.1,历史研究
作者:[德]赫尔曼·黑塞,9.0,德米安
作者:[苏]安德烈·塔可夫斯基,9.1,雕刻时光
作者:罗杰•霍克(RogerR.Hock),9.2,改变心理学的40项研究
作者:[俄]陀思妥耶夫斯基,9.1,死屋手记
"作者:（黎巴嫩）纪·哈·纪伯伦（Gibran,K.）",9.1,纪伯伦诗集
作者:卡里・纪伯伦/廖欣,9.1,沙与沫
作者:[意]普里莫·莱维,9.3,被淹没和被拯救的
作者:[加拿大]阿利斯泰尔·麦克劳德,9.1,海风中失落的血色馈赠
作者:[白俄]S·A·阿列克谢耶维奇,9.1,切尔诺贝利的悲鸣
作者:[法]克里斯托弗·加尔法德,9.1,极简宇宙史
作者:[法]马塞尔·普鲁斯特,9.2,追忆似水年华
作者:卡伦·霍尼,9.0,我们时代的神经症人格
作者:[哥伦比亚]加西亚·马尔克斯,9.0,活着为了讲述
作者:本书编委会,9.6,心经
作者:米切尔·恩德,9.2,毛毛
作者:田中芳树,9.4,银河英雄传说
作者:汪曾祺,9.1,受戒
作者:(法)阿尔贝·加缪,9.1,局外人
作者:BarbaraDemick,9.2,NothingtoEnvy
作者:李碧华,9.1,霸王别姬
作者:[瑞典]弗雷德里克·巴克曼,9.0,一个叫欧维的男人决定去死
作者:史铁生,9.0,记忆与印象
作者:(印度)泰戈尔,9.0,新月集·飞鸟集
作者:（美）玛格丽特・米切尔,9.4,乱世佳人(上、下)
作者:三毛,9.1,温柔的夜
作者:[美]ScottMeyers,9.2,EffectiveC++中文版
作者:【美】斯科特•安德森（ScottAnderson）,9.1,阿拉伯的劳伦斯
作者:MartinFowler,9.0,重构
作者:杨小凯,9.1,百年中国经济史笔记
作者:冯友兰,9.1,中国哲学简史
作者:白谦慎,9.0,傅山的世界
作者:KennethA.Reek,9.0,C和指针
